variant,seed,fusion_weight,training_seconds,inference_ms_per_flow,input_features,hierarchy_features,accuracy,precision_macro,recall_macro,f1_macro
Hierarchical-FULL,7,,1.6250839659478515,0.06423360421322286,70,70,0.9396,0.9399864039162651,0.9396000000000001,0.9396841138848142
Global-FULL,7,,1.6250839659478515,0.06423360421322286,70,70,0.95,0.9506346577849092,0.95,0.9501073446899062
DPF-FULL-NoJSD,7,1.0,1.6250839659478515,0.06423360421322286,70,70,0.95,0.9506346577849092,0.95,0.9501073446899062
HardHierarchy-FULL,7,,1.6250839659478515,0.06423360421322286,70,70,0.9388,0.9393211902507239,0.9388,0.9389482177008089
Hierarchical-PT,7,,1.7362433741800487,0.05355885778553784,51,51,0.941,0.941434828580222,0.9410000000000001,0.9410924085917074
Global-PT,7,,1.7362433741800487,0.05355885778553784,51,51,0.9502,0.9506835661941908,0.9501999999999999,0.950302864763611
DPF-PT,7,0.5,1.7362433741800487,0.05355885778553784,51,51,0.9476,0.947996296144729,0.9475999999999999,0.9476615521580667
HardHierarchy-PT,7,,1.7362433741800487,0.05355885778553784,51,51,0.9408,0.9413619252334945,0.9408000000000001,0.9409481275660042
Hierarchical-AS,7,,1.9495759028941393,0.05614822418428957,19,14,0.2888,0.24389815627743636,0.2888,0.19498593021145566
Global-AS,7,,1.9495759028941393,0.05614822418428957,19,14,0.2888,0.24389815627743636,0.2888,0.19498593021145566
DPF-AS,7,0.0,1.9495759028941393,0.05614822418428957,19,14,0.2888,0.24389815627743636,0.2888,0.19498593021145566
HardHierarchy-AS,7,,1.9495759028941393,0.05614822418428957,19,14,0.2888,0.24389815627743636,0.2888,0.19498593021145566
Hierarchical-FULL,8,,1.766281654825434,0.056108615407720205,70,64,0.9398,0.9403462591724324,0.9398,0.9399191865131827
Global-FULL,8,,1.766281654825434,0.056108615407720205,70,64,0.9504,0.9512113158101357,0.9503999999999999,0.9505571844075066
DPF-FULL,8,1.0,1.766281654825434,0.056108615407720205,70,64,0.9504,0.9512113158101357,0.9503999999999999,0.9505571844075066
HardHierarchy-FULL,8,,1.766281654825434,0.056108615407720205,70,64,0.9392,0.9398819051798716,0.9391999999999999,0.9393862035613685
Hierarchical-FULL,8,,1.574555846164003,0.06445645159110427,70,70,0.9388,0.9393433207603537,0.9388,0.9389271872095553
Global-FULL,8,,1.574555846164003,0.06445645159110427,70,70,0.9504,0.9512113158101357,0.9503999999999999,0.9505571844075066
DPF-FULL-NoJSD,8,1.0,1.574555846164003,0.06445645159110427,70,70,0.9504,0.9512113158101357,0.9503999999999999,0.9505571844075066
HardHierarchy-FULL,8,,1.574555846164003,0.06445645159110427,70,70,0.938,0.9387135840098063,0.9380000000000001,0.9382068230312249
Hierarchical-PT,8,,1.8002499490976334,0.06539368461817503,51,51,0.9414,0.9418152555407364,0.9414,0.9414966435059047
Global-PT,8,,1.8002499490976334,0.06539368461817503,51,51,0.9496,0.9504170755326831,0.9495999999999999,0.9497435304150667
DPF-PT,8,0.75,1.8002499490976334,0.06539368461817503,51,51,0.9484,0.9490247030610153,0.9484,0.9485140542290196
HardHierarchy-PT,8,,1.8002499490976334,0.06539368461817503,51,51,0.9414,0.9419415156575024,0.9414,0.9415585185943154
Hierarchical-AS,8,,1.9541989830322564,0.06698886500671505,19,14,0.2888,0.24389815627743636,0.2888,0.19498593021145566
Global-AS,8,,1.9541989830322564,0.06698886500671505,19,14,0.2888,0.24389815627743636,0.2888,0.19498593021145566
DPF-AS,8,0.0,1.9541989830322564,0.06698886500671505,19,14,0.2888,0.24389815627743636,0.2888,0.19498593021145566
HardHierarchy-AS,8,,1.9541989830322564,0.06698886500671505,19,14,0.2888,0.24389815627743636,0.2888,0.19498593021145566
Hierarchical-FULL,9,,1.7641798320692033,0.059476160211488605,70,64,0.9416,0.9420086746929794,0.9416,0.941684126052524
Global-FULL,9,,1.7641798320692033,0.059476160211488605,70,64,0.951,0.9514316656065616,0.951,0.9510803391374496
DPF-FULL,9,1.0,1.7641798320692033,0.059476160211488605,70,64,0.951,0.9514316656065616,0.951,0.9510803391374496
HardHierarchy-FULL,9,,1.7641798320692033,0.059476160211488605,70,64,0.9406,0.9411699196326062,0.9406000000000001,0.9407602643297082
Hierarchical-FULL,9,,1.5576540718320757,0.061151732411235574,70,70,0.9398,0.9402981790490426,0.9398,0.9399101371569524
Global-FULL,9,,1.5576540718320757,0.061151732411235574,70,70,0.951,0.9514316656065616,0.951,0.9510803391374496
DPF-FULL-NoJSD,9,0.75,1.5576540718320757,0.061151732411235574,70,70,0.9496,0.9501375173440534,0.9496,0.9497081833922744
HardHierarchy-FULL,9,,1.5576540718320757,0.061151732411235574,70,70,0.9388,0.939488097394132,0.9388,0.9389943052630636
Hierarchical-PT,9,,1.720595101127401,0.05876021264120936,51,51,0.9406,0.9410876647318979,0.9406000000000001,0.9407156568804824
Global-PT,9,,1.720595101127401,0.05876021264120936,51,51,0.9494,0.9499938161336827,0.9494,0.9495040458909875
DPF-PT,9,0.75,1.720595101127401,0.05876021264120936,51,51,0.9488,0.949372195550732,0.9488,0.9489179461447623
HardHierarchy-PT,9,,1.720595101127401,0.05876021264120936,51,51,0.9402,0.9407797027312874,0.9401999999999999,0.9403569676036796
Hierarchical-AS,9,,1.9293172529432923,0.06274877600371838,19,14,0.2888,0.24389815627743636,0.2888,0.19498593021145566
Global-AS,9,,1.9293172529432923,0.06274877600371838,19,14,0.2888,0.24389815627743636,0.2888,0.19498593021145566
DPF-AS,9,0.0,1.9293172529432923,0.06274877600371838,19,14,0.2888,0.24389815627743636,0.2888,0.19498593021145566
HardHierarchy-AS,9,,1.9293172529432923,0.06274877600371838,19,14,0.2888,0.24389815627743636,0.2888,0.19498593021145566
